,text,Label
2807,o dimineață perfectă cu  #foccacia #starbucksbarista #foccaciaparma #starbuckspeople #allaboutcoffee #coffeelover la,2
3538,#Neymar ar vrea să devină jucător profesionist de poker după ce va renunţa la fotbal,1
2455,alege sa colaboreze cu  pentru a asigura fiabilitatea aplicatiei Lync pe dispozitive mobile,2
3001,In luna IUNIE iti rasplatim fidelitatea! #Recomanda-ne serviciile pe pagina de Facebook si primesti automat 15% reducere la tratamentul facial preferat. #Fidelitateaserasplateste #Gogreen,2
2856,si Dragasani sunt patria infractorilor cibernetici pentru ca autoritatile permit asta la fel si asistentii  Romania .,0
1238,"poti fi tu iubirea vietii mele,dar daca imi iei telefonul din mână te înjur de toti mortii",0
290,"Deputatul , dezamăgit că în comisie a fost respinsă inițiativa prin care să fie interzisă renunțarea voluntară la titlul de doctor: Mi se pare o bătaie de joc față de această instituție a doctoratului în România …",0
2326,"Unii la patinoar, alții la . Fiecare cu pasiunile lui. #patinaj #ice #patinoar #cluj…",2
439,"Așa mă simt și faptul că nu pot să fac km pe jos ca înainte si obosesc, nu mă ajută să-mi schimb părerea. 😑😶 fmm de covid.",0
2336,Astept in metrou ca boul ca sa pot intarzia la munca... B-01-MUE  <|EMAIL|> M1 Costin Georgian),0
1696,tibifarcash Cred că ai supărat pe cineva de la,0
106,Am lăsat azi mașina parcată vreo trei ore lângă Ateneu. Cred că doar dacă o lăsam pe un șantier se mai depunea atât de mult praf pe ea. Să tot mănânci la terasele din zonă…,0
266,"spunea odata: "" Nu exista aratare mai trista decat un pesimist tanar.""",0
3071,"Mi-aș dori să am o tabletă grafică Pe PC este mai greu de desenat Trebuie să mai exersez,bineînțeles! Sunt un fan Castlevania~ I hope your like it Castlevania () My fanart #Castlevania #CastlevaniaNetflix #ȚepeșFamily",2
2702,"Aparent, sunt o grămadă de oameni convinși că apa de la robinet nu e potabilă. Srsly? Puneți  și la ciorbă?",0
1107,pe lângă ca mi-am luat 2 odată și i a făcut pe toți niște urâți i mean 💀💀,0
2271,Era și timpul să îmi schimb wallpaperul cu ceva frumos. #bmw #seria3 #gt #romania…,2
3695,În această noapte se poate observa o ”ploaie de stele” | AUDIO,1
3709,Craiova e liderul cu cel mai tare start din Europa,1
3446,"Fotbal: # l-a recuperat pe #, vindecat de Covid-19",1
2735,De la : continental  te-a acceptat in campanie. 1min dupa: continental te-a suspendat din campanie WTF??,0
1905,A luat  drepturile de difuzare pentru bătăile de la Pungeşti?,0
2261,"Samsung pay mi se pare o chestie făcută cu cap, dacă va funcționa așa cum spun ei.",2
1944,Apusul de soare poate fi frumos si in Bucuresti #microsoft  Bar,2
1404,Dejun:)) <|EMAIL|> Hut),2
3686,anunţă cel mai mare eveniment de eSports din Europa: Razer Invitational Europe,1
2517,Urat din partea  ca incurajeaza tambalaul la  c-as fi fost la vreun un meci in ultimii 8 ani:),0
1504,Nervi. Servicii proaste. <|EMAIL|> Transilvania - ),0
2629,"Cea mai scurtă şi cea mai frumoasă vacanţă pe care am avut-o vreodată :-) La revedere, Dorna! / with",2
897,In zilele noastre sefii de state tin sa ne anunte cand se imbolnavesc de covid. Dar inainte cand erau raciti de ce nu ne spuneau nimic? Atat de rau a decazut lumea politica incat am ajuns sa consideram breaking news faptul ca lui  ii curg mucii.,0
3836,Retete de Craciun: Salata de cartofi si hamsii,1
2838,Eu vad o mare diferenta intre BMW pe linia de tramvai si pietoni traversand aiurea... Prima categorie e mult mai numeroasa.,0
2513,REDUCERI REALE : azi avem boxă portabilă JBL și storcător de fructe și legume cu 50% discount,2
663,ok deci la 10 ma duc sa fac baie si dupa voi mai avea o ora sa ma pregatesc,1
1447,Cumparaturiiiiii:)) <|EMAIL|> Hipermarket),2
3642,"#DIGI, #, #, #: Anuntul Autoritatilor privind Coronavirus",1
19,"Bomba despre pensii! Adio, bani din 2030? Lovitură pentru pensionari / …",0
2791,"Zborul 363 spre AMS, 140 minute întârziere. Stau în aeroport fără sa anunțați nimic, nici mail, nimic. Nota 0 tarom",0
3791,angajează astronauţi pentru o misiune pe Marte. Care sunt condiţiile  #news #stiri #romania,1
2153,"Ma asteapta 24 h de ""fundu' jos"", asa ca sa ne facem plinul. Maine e zi de",0
1101,"Istoria cafelei în vechiul #NewYork - Cafeneaua ca forum civic  Fondatorii olandezi ai New York-ului par să fi introdus ceaiul în Noul Amsterdam, înainte de a fi adus cafea. Aceasta a fost undeva pe la mijlocul secolului XVII. Exi…",1
2736,"În absența acestui ajutor <|EMAIL|> începând din luna martie, ar fi în imposibilitatea finanțării activității curente”.",0
269,"Iar faptul că-i surmenat îl observasem într-un interviu din anul 2016, în biroul lui din Trump Tower. Pe birou era un calamandros de n-aveai unde arunca un ac. Aşa păţisem io într-un an în care nu m-am dus vara în concediu, lăcomindu-mă la nişte dosare bine plătite, cu arestaţi.",0
3146,"Mă, ziceți voi ce vreți, dar personal consider că serviciul relații clienți de la <|USERNAME e excelent. După experiența achiziționării unui TV mai scump cu 10% decât pe niște site-uri necunoscute, îmi întăresc opinia că merită să plătești banii ăștia în plus. În final eu sunt pe plus",2
1709,Nu știu ce fumează advertisingul  dar pare tare,0
860,"Bună dimineața! Cea mai           frumoasă zi nu este atunci când este soare afară, ci atunci când ai soare în suflet! 🌞 O zi frumoasă!",2
138,"Atât de real ai zugrăvit situația încât am rămas fără cuvinte.👍🏿 Da așa este, când este să se recunoască lucruri neplăcute se cam aplică tactica struțului aia cu capul în nisip...😐",0
3384,nu s-a obosit nici măcar să răspundă la telefon ca să își explice absențele din .,1
1218,"e usor sa fii rau, mai ales in online. toti suntem frustrati, si o aratam cum putem, mai ales prin jigniri. ignora, e mult mai sanatos, iar daca insista, poti sa faci sa nu-l mai vezi.",0
